[0.143s] Invoking command in '/home/tsmusr/ROS2Dev/raspuma_ws/build/raspuma_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/tsmusr/ROS2Dev/dev_ws/src/install/mypkg_py:/home/tsmusr/ROS2Dev/dev_ws/src/install/dofbot_ctrl:/home/tsmusr/ROS2Dev/turtlebot3_ws/install/turtlebot3_teleop:/home/tsmusr/ROS2Dev/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --build /home/tsmusr/ROS2Dev/raspuma_ws/build/raspuma_description -- -j2 -l2
[0.185s] Invoked command in '/home/tsmusr/ROS2Dev/raspuma_ws/build/raspuma_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/tsmusr/ROS2Dev/dev_ws/src/install/mypkg_py:/home/tsmusr/ROS2Dev/dev_ws/src/install/dofbot_ctrl:/home/tsmusr/ROS2Dev/turtlebot3_ws/install/turtlebot3_teleop:/home/tsmusr/ROS2Dev/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --build /home/tsmusr/ROS2Dev/raspuma_ws/build/raspuma_description -- -j2 -l2
[0.219s] Invoking command in '/home/tsmusr/ROS2Dev/raspuma_ws/build/raspuma_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/tsmusr/ROS2Dev/dev_ws/src/install/mypkg_py:/home/tsmusr/ROS2Dev/dev_ws/src/install/dofbot_ctrl:/home/tsmusr/ROS2Dev/turtlebot3_ws/install/turtlebot3_teleop:/home/tsmusr/ROS2Dev/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --install /home/tsmusr/ROS2Dev/raspuma_ws/build/raspuma_description
[0.232s] -- Install configuration: ""
[0.232s] -- Execute custom install script
[0.233s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//launch/display.launch
[0.234s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//launch/gazebo.launch
[0.234s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//meshes/base_link.STL
[0.235s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//meshes/body_cam.STL
[0.235s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//meshes/camera.STL
[0.235s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//meshes/left_wheel.STL
[0.236s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//meshes/right_wheel.STL
[0.236s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//rviz/raspuma_rviz_config.rviz
[0.236s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//urdf/CAD_Rasbot_URDF.csv
[0.237s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//urdf/mobil_base.xacro
[0.237s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//urdf/raspuma.gazebo.xacro
[0.238s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//urdf/raspuma.urdf
[0.238s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//urdf/raspuma2.gazebo.xacro
[0.238s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//urdf/raspuma2_urdf.xacro
[0.238s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//urdf/raspuma_urdf.xacro
[0.239s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description//config/joint_names_CAD_Rasbot_URDF.yaml
[0.239s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/ament_index/resource_index/package_run_dependencies/raspuma_description
[0.239s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/ament_index/resource_index/parent_prefix_path/raspuma_description
[0.239s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description/environment/ament_prefix_path.sh
[0.239s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description/environment/ament_prefix_path.dsv
[0.240s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description/environment/path.sh
[0.240s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description/environment/path.dsv
[0.240s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description/local_setup.bash
[0.240s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description/local_setup.sh
[0.241s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description/local_setup.zsh
[0.241s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description/local_setup.dsv
[0.241s] -- Symlinking: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description/package.dsv
[0.251s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/ament_index/resource_index/packages/raspuma_description
[0.251s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description/cmake/raspuma_descriptionConfig.cmake
[0.252s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description/cmake/raspuma_descriptionConfig-version.cmake
[0.252s] -- Up-to-date symlink: /home/tsmusr/ROS2Dev/raspuma_ws/install/raspuma_description/share/raspuma_description/package.xml
[0.254s] Invoked command in '/home/tsmusr/ROS2Dev/raspuma_ws/build/raspuma_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/tsmusr/ROS2Dev/dev_ws/src/install/mypkg_py:/home/tsmusr/ROS2Dev/dev_ws/src/install/dofbot_ctrl:/home/tsmusr/ROS2Dev/turtlebot3_ws/install/turtlebot3_teleop:/home/tsmusr/ROS2Dev/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --install /home/tsmusr/ROS2Dev/raspuma_ws/build/raspuma_description
